Volume conc (microl/l) 1,Volume conc (microl/l) 2,Volume conc (microl/l) 3,Volume conc (microl/l) 4,Volume conc (microl/l) 5,Volume conc (microl/l) 6,Volume conc (microl/l) 7,Volume conc (microl/l) 8,Volume conc (microl/l) 9,Volume conc (microl/l) 10,Volume conc (microl/l) 11,Volume conc (microl/l) 12,Volume conc (microl/l) 13,Volume conc (microl/l) 14,Volume conc (microl/l) 15,Volume conc (microl/l) 16,Volume conc (microl/l) 17,Volume conc (microl/l) 18,Volume conc (microl/l) 19,Volume conc (microl/l) 20,Volume conc (microl/l) 21,Volume conc (microl/l) 22,Volume conc (microl/l) 23,Volume conc (microl/l) 24,Volume conc (microl/l) 25,Volume conc (microl/l) 26,Volume conc (microl/l) 27,Volume conc (microl/l) 28,Volume conc (microl/l) 29,Volume conc (microl/l) 30,Volume conc (microl/l) 31,Volume conc (microl/l) 32,Volume conc (microl/l) 33,Volume conc (microl/l) 34,Volume conc (microl/l) 35,Volume conc (microl/l) 36,TVC_recal,Laser transmission Sensor [mW],Supply voltage in calibrated units [V],External Auxiliary input 1 in calibrated units [mW],Laser Reference sensor in calibrated units [mW],Depth in calibrated units [m],Temperature in calibrated units [C],year,Month,day,hour,minute,second,DATE,TIME,DATE  & Time (format gps),External Auxiliary input 2 in calibrated units [mW],Sauter Mean Diameter [?],Total Volume Concentration [ppm],Relative Humidity [%],Accelerometer X [counts],Accelerometer Y [counts],Accelerometer Z [counts],Raw pressure (most sign bit),Raw pressure (least sign 16 bits),Ambient light (counts),Not used,Computed optical transmission over path,Beam-attenuation (c) [m-1].,Current Time,Latitude_ship,Longitude_ship,Speed over Ground,GPSfix,Row Labels,Average of Salinity,Average of Temperature_C,Average of Turbidity_NTU,Average of Depth_m,Average of Chlorohyll_ug_L,Time,VPR lat,VPR long,VPR depth,majoraxis,minoraxis,angle,devz,linename
0,0,0,0.00160893,0.0103062,0.0285446,0.0330405,0.0480288,0.0997936,0.191327,0.22778,0.22756,0.233401,0.267318,0.31349,0.385805,0.437479,0.516065,0.538546,0.590572,0.64444,0.745761,0.934109,1.20771,1.37311,1.50262,1.59193,1.6632,1.76205,1.95315,2.29094,2.82525,3.38861,3.3747,2.18293,0.846756,19.81968563,1.02057,10.82,0.0768,1.07288,5.55,15.813,2020,10,5,8,3,17,10/5/2020,8:03:17 AM,10/05/2020 8:03:17,6.5535,123.834,32.4379,57,2380,2783,3142,0,23986,4,0,0.918525,3.39945,8:03:17 AM,51.29223333,2.63157667,,DGPS,08:03:17,34591.92,15.83208,3.296,5.444,1.804,,,,,,,,,0001_20201005_080301
0,0,0,0.0018957,0.0116296,0.0307123,0.0341219,0.0474589,0.0961631,0.180445,0.213502,0.214705,0.222019,0.255114,0.30034,0.370289,0.422099,0.500483,0.526323,0.58078,0.638289,0.738748,0.91359,1.12662,1.18775,1.18381,1.15377,1.15636,1.24328,1.46464,1.85839,2.41313,2.85919,2.64086,1.60865,0.634792,16.6733275,1.03306,10.79,0.0768,1.07218,5.7,15.814,2020,10,5,8,3,18,10/5/2020,8:03:18 AM,10/05/2020 8:03:18,6.5535,121.84,26.83,57,2379,2776,3179,0,24010,4,0,0.930377,2.88662,8:03:18 AM,51.29221333,2.63156,,DGPS,08:03:18,34592.24,15.8328,2.96,5.568,1.466,,,,,,,,,0001_20201005_080301
0,0,0,0.00183277,0.0110832,0.0297483,0.0342167,0.0492322,0.101093,0.192846,0.232762,0.236996,0.246745,0.284664,0.334739,0.41498,0.478458,0.575929,0.617069,0.690089,0.769006,0.896444,1.1115,1.37194,1.44788,1.44223,1.38515,1.32302,1.29604,1.33573,1.45494,1.63456,1.74034,1.57756,1.05767,0.489324,18.36636317,1.02792,10.81,0.0768,1.07148,5.69,15.812,2020,10,5,8,3,19,10/5/2020,8:03:19 AM,10/05/2020 8:03:19,6.5535,93.9565,24.8658,57,2373,2811,3095,0,24008,4,0,0.926353,3.06001,8:03:19 AM,51.29219333,2.63154167,,DGPS,08:03:19,34592.33333,15.833,2.8,5.677777778,1.25,,,,,,,,,0001_20201005_080301
0,0,0,0.00172383,0.0108968,0.0298101,0.0341728,0.0491807,0.101583,0.193317,0.227816,0.22437,0.226452,0.254931,0.297013,0.371881,0.437503,0.54081,0.594374,0.676638,0.767196,0.910051,1.1563,1.47566,1.60414,1.62495,1.55426,1.4579,1.41327,1.48471,1.70245,2.06671,2.34909,2.1427,1.29858,0.512229,19.42335923,1.02571,10.82,0.0768,1.07077,5.77,15.811,2020,10,5,8,3,20,10/5/2020,8:03:20 AM,10/05/2020 8:03:20,6.5535,111.783,27.7927,57,2375,2778,3128,0,24020,4,0,0.924974,3.1196,8:03:20 AM,51.29217333,2.63152167,,DGPS,08:03:20,34591.77778,15.82955556,3.266666667,5.788888889,2.183333333,,,,,,,,,0001_20201005_080301
0,0,0,0.00193026,0.0116895,0.0309372,0.0346493,0.0482168,0.0974581,0.182562,0.215381,0.215734,0.22188,0.253672,0.297382,0.371201,0.432237,0.526925,0.570953,0.64501,0.725037,0.858539,1.08617,1.39825,1.5787,1.73017,1.86188,1.99248,2.12741,2.27508,2.42775,2.61989,2.72782,2.57374,1.91965,0.994485,22.21928416,1.02645,10.82,0.0768,1.07077,6.36,15.811,2020,10,5,8,3,21,10/5/2020,8:03:21 AM,10/05/2020 8:03:21,6.5535,125.274,33.0549,57,2402,2751,3232,0,24113,4,0,0.925636,3.09096,8:03:21 AM,51.29215667,2.63149833,,DGPS,08:03:21,34592.16,15.83008,3.72,5.78,2.41,,,,,,,,,0001_20201005_080301
0,0,0,0.00156919,0.0103027,0.0297621,0.0359732,0.0544516,0.115228,0.224217,0.26779,0.266094,0.272485,0.314321,0.374852,0.47386,0.554432,0.671194,0.713443,0.78734,0.866108,0.981219,1.17231,1.37697,1.38048,1.32279,1.25089,1.21517,1.24678,1.35456,1.5183,1.6911,1.74483,1.51307,0.963585,0.402292,18.85289179,1.02351,10.82,0.0768,1.07077,6.25,15.811,2020,10,5,8,3,22,10/5/2020,8:03:22 AM,10/05/2020 8:03:22,6.5535,94.897,25.1678,57,2392,2821,3147,0,24096,4,0,0.922986,3.20566,8:03:22 AM,51.29213833,2.63147667,,DGPS,08:03:22,34592.24,15.83048,4.392,6.088,2.106,,,,,,,,,0001_20201005_080301
0,0,0,0.00107228,0.00783813,0.0247858,0.0317106,0.0515685,0.117255,0.246578,0.313751,0.326382,0.344439,0.407311,0.489041,0.620323,0.724036,0.87932,0.935733,1.03997,1.15243,1.32051,1.5969,1.87975,1.84438,1.68393,1.46833,1.27362,1.15124,1.12378,1.19522,1.34385,1.46081,1.36911,0.939758,0.41256,22.25120431,1.01395,10.82,0.0768,1.07288,5.88,15.811,2020,10,5,8,3,23,10/5/2020,8:03:23 AM,10/05/2020 8:03:23,6.5535,73.2223,27.7773,57,2377,2819,3054,0,24037,4,0,0.912573,3.65947,8:03:23 AM,51.29212167,2.63145333,,DGPS,08:03:23,34592.28,15.83064,3.368,6.384,1.294,,,,,,,,,0001_20201005_080301
0,0,0,0.00179694,0.0112211,0.0303348,0.0343694,0.0484514,0.0983878,0.184113,0.21514,0.21106,0.213161,0.240174,0.28045,0.352204,0.415752,0.515302,0.567458,0.648623,0.738158,0.878578,1.11129,1.38427,1.45628,1.4474,1.42055,1.45768,1.62154,1.9492,2.41705,2.93424,3.11911,2.53944,1.32934,0.475538,19.94999444,1.02645,10.81,0.0768,1.07218,6.19,15.811,2020,10,5,8,3,24,10/5/2020,8:03:24 AM,10/05/2020 8:03:24,6.5535,119.896,30.3477,57,2373,2784,3126,0,24086,4,0,0.924421,3.14349,8:03:24 AM,51.292105,2.63143333,,DGPS,08:03:24,34593,15.82892,2.776,6.112,1.9,,,,,,,,,0001_20201005_080301
0,0,0,0.00183304,0.011032,0.0294383,0.0336575,0.0478842,0.0968917,0.180988,0.21119,0.207043,0.207599,0.231444,0.267455,0.331721,0.387014,0.471523,0.51083,0.571145,0.635553,0.729105,0.881346,1.06599,1.12917,1.18037,1.25277,1.38093,1.61974,2.02776,2.65179,3.44613,4.04331,3.68665,2.19739,0.854289,18.35321274,1.03012,10.82,0.0768,1.07288,6.9,15.81,2020,10,5,8,3,25,10/5/2020,8:03:25 AM,10/05/2020 8:03:25,6.5535,141.779,32.581,57,2443,2737,3303,0,24197,4,0,0.927122,3.02682,8:03:25 AM,51.29209,2.63141333,,DGPS,08:03:25,34592.32,15.8296,2.616,5.996,2.368,,,,,,,,,0001_20201005_080301
0,0,0,0.00120951,0.00837185,0.0252217,0.0313021,0.049295,0.108645,0.221009,0.275199,0.280486,0.292471,0.341198,0.405588,0.510151,0.591622,0.714401,0.758438,0.843925,0.935136,1.08036,1.32489,1.61747,1.69562,1.71122,1.71154,1.75915,1.90544,2.16847,2.5009,2.79884,2.82138,2.30813,1.32266,0.500902,23.86872916,1.01616,10.82,0.0768,1.07218,6.64,15.81,2020,10,5,8,3,26,10/5/2020,8:03:26 AM,10/05/2020 8:03:26,6.5535,110.622,33.6206,57,2430,2807,3189,0,24156,4,0,0.915157,3.54637,8:03:26 AM,51.29207,2.63139167,,DGPS,08:03:26,34592.2,15.82744,3.52,6.472,2.19,,,,,,,,,0001_20201005_080301
