Volume conc (microl/l) 1,Volume conc (microl/l) 2,Volume conc (microl/l) 3,Volume conc (microl/l) 4,Volume conc (microl/l) 5,Volume conc (microl/l) 6,Volume conc (microl/l) 7,Volume conc (microl/l) 8,Volume conc (microl/l) 9,Volume conc (microl/l) 10,Volume conc (microl/l) 11,Volume conc (microl/l) 12,Volume conc (microl/l) 13,Volume conc (microl/l) 14,Volume conc (microl/l) 15,Volume conc (microl/l) 16,Volume conc (microl/l) 17,Volume conc (microl/l) 18,Volume conc (microl/l) 19,Volume conc (microl/l) 20,Volume conc (microl/l) 21,Volume conc (microl/l) 22,Volume conc (microl/l) 23,Volume conc (microl/l) 24,Volume conc (microl/l) 25,Volume conc (microl/l) 26,Volume conc (microl/l) 27,Volume conc (microl/l) 28,Volume conc (microl/l) 29,Volume conc (microl/l) 30,Volume conc (microl/l) 31,Volume conc (microl/l) 32,Volume conc (microl/l) 33,Volume conc (microl/l) 34,Volume conc (microl/l) 35,Volume conc (microl/l) 36,TVC_recal,Laser transmission Sensor [mW],Supply voltage in calibrated units [V],External Auxiliary input 1 in calibrated units [mW],Laser Reference sensor in calibrated units [mW],Depth in calibrated units [m],Temperature in calibrated units [C],year,Month,day,hour,minute,second,DATE,TIME,DATE  & Time (format gps),External Auxiliary input 2 in calibrated units [mW],Sauter Mean Diameter [?],Total Volume Concentration [ppm],Relative Humidity [%],Accelerometer X [counts],Accelerometer Y [counts],Accelerometer Z [counts],Raw pressure (most sign bit),Raw pressure (least sign 16 bits),Ambient light (counts),Not used,Computed optical transmission over path,Beam-attenuation (c) [m-1].,Current Time,Latitude_ship,Longitude_ship,Speed Over Ground,GPSfix,Row Labels,Average of Salinity,Average of Temperature_C,Average of Turbidity_NTU,Average of Depth_m,Average of Chlorohyll_ug_L,Time,VPR lat,VPR long,VPR depth,majoraxis,minoraxis,angle,devz,linename
0,0,0,0.0032,0.046,0.0764,0.0212,0.0088,0.0185,0.0386,0.0463,0.0537,0.0573,0.0585,0.0453,0.0284,0.0157,0.0123,0.0106,0.0155,0.0226,0.0637,0.2863,1.3453,3.3704,4.5846,4.0315,3.2606,3.1524,3.6615,4.4195,4.7016,3.6793,1.6916,0.3393,0.0367,28.7547,1.0117,11.13,0.075,1.0004,0.14,-5,2021,7,9,9,48,20,7/9/2021,9:48:20 AM,7/09/2021 9:48:20,6.554,136.91,39.2034,47,2369,2714,3209,0,23235,5649,0,0.855,6.288,9:48:20 AM,51.27717302,2.61396167,0.5,RTK       ,,,,,,,,,,,,,,,
0,0,0,0.0036,0.0521,0.0742,0.0169,0.0065,0.0147,0.0342,0.0459,0.0596,0.0661,0.0667,0.0485,0.0279,0.0143,0.0107,0.0089,0.0134,0.0199,0.059,0.2814,1.3788,3.4856,4.6561,3.9797,3.1656,3.0765,3.6215,4.446,4.8431,3.8797,1.7966,0.3539,0.037,28.7343,1.0042,11.14,0.075,0.9992,0.12,-5,2021,7,9,9,48,21,7/9/2021,9:48:21 AM,7/09/2021 9:48:21,6.554,137.61,39.6449,47,2364,2713,3200,0,23233,5660,0,0.849,6.539,9:48:21 AM,51.2771727,2.61396383,0.1,RTK       ,,,,,,,,,,,,,,,
0,0,0,0.0044,0.0544,0.075,0.0181,0.0069,0.0149,0.033,0.0424,0.0556,0.0624,0.0633,0.0464,0.0269,0.0139,0.0104,0.0088,0.013,0.0191,0.0566,0.2719,1.3552,3.499,4.7383,4.0443,3.1639,3.0185,3.5422,4.3945,4.8789,4.0273,1.9463,0.4057,0.0451,28.6533,1.0063,11.12,0.075,0.9992,0.12,-5,2021,7,9,9,48,22,7/9/2021,9:48:22 AM,7/09/2021 9:48:22,6.554,138.54,39.9567,47,2367,2714,3206,0,23233,5663,0,0.851,6.458,9:48:22 AM,51.27717277,2.61396417,0.1,RTK       ,,,,,,,,,,,,,,,
0,0,0,0.0037,0.0502,0.0725,0.0178,0.0071,0.0156,0.035,0.0447,0.0568,0.0626,0.0638,0.0469,0.0267,0.0134,0.0097,0.008,0.0119,0.0175,0.0526,0.2619,1.343,3.4903,4.7181,4.0499,3.2065,3.0782,3.5964,4.3967,4.7479,3.7717,1.751,0.3523,0.0379,28.7575,1.0104,11.14,0.075,0.9998,0.13,-5,2021,7,9,9,48,23,7/9/2021,9:48:23 AM,7/09/2021 9:48:23,6.554,137.12,39.4182,47,2367,2714,3216,0,23234,5668,0,0.854,6.319,9:48:23 AM,51.27717193,2.61396583,0.5,RTK       ,,,,,,,,,,,,,,,
0,0,0,0.0042,0.051,0.0738,0.0197,0.0082,0.0169,0.0352,0.0443,0.0551,0.0609,0.0628,0.0472,0.0277,0.0143,0.0106,0.0089,0.0132,0.0193,0.0571,0.2738,1.3532,3.4782,4.7011,4.0359,3.19,3.0565,3.5711,4.3958,4.8448,4.0018,1.9741,0.4307,0.0505,28.686,1.009,11.14,0.075,0.9998,0.14,-5,2021,7,9,9,48,24,7/9/2021,9:48:24 AM,7/09/2021 9:48:24,6.554,138.7,39.9876,47,2365,2715,3214,0,23235,5680,0,0.853,6.373,9:48:24 AM,51.27717085,2.61396883,0.3,RTK       ,,,,,,,,,,,,,,,
0,0,0,0.0037,0.0506,0.0743,0.0188,0.0077,0.0166,0.0363,0.0465,0.0567,0.0616,0.0624,0.0465,0.0272,0.0141,0.0105,0.0087,0.013,0.0191,0.0569,0.2746,1.3577,3.4529,4.6465,4.0077,3.1879,3.0617,3.5964,4.4622,4.9239,4.0194,1.9167,0.3934,0.0425,28.6788,1.0063,11.14,0.075,0.9992,0.12,-5,2021,7,9,9,48,25,7/9/2021,9:48:25 AM,7/09/2021 9:48:25,6.554,138.8,39.9747,47,2372,2714,3206,0,23232,5694,0,0.851,6.458,9:48:25 AM,51.2771711,2.6139705,0.2,RTK       ,,,,,,,,,,,,,,,
0,0,0,0.0038,0.0501,0.0758,0.0197,0.0076,0.0159,0.034,0.0425,0.0544,0.0611,0.0633,0.0469,0.027,0.0136,0.01,0.0084,0.013,0.0197,0.0591,0.2819,1.3683,3.4654,4.6796,4.032,3.1973,3.0655,3.5796,4.4169,4.8905,4.0417,1.978,0.4225,0.0481,28.7124,1.0076,11.12,0.075,0.9992,0.12,-5,2021,7,9,9,48,26,7/9/2021,9:48:26 AM,7/09/2021 9:48:26,6.554,138.92,40.0931,47,2366,2714,3203,0,23233,5703,0,0.852,6.403,9:48:26 AM,51.27717157,2.613972,0.3,RTK       ,,,,,,,,,,,,,,,
0,0,0,0.0083,0.0668,0.0779,0.0204,0.0082,0.0153,0.0294,0.0382,0.0507,0.06,0.0641,0.0504,0.0312,0.0171,0.0131,0.0114,0.0167,0.0243,0.0678,0.2934,1.3332,3.3777,4.6475,4.0793,3.2652,3.1307,3.6208,4.4008,4.8297,4.043,2.0799,0.4918,0.0662,28.8199,1.0104,11.13,0.075,0.9992,0.12,-5,2021,7,9,9,48,27,7/9/2021,9:48:27 AM,7/09/2021 9:48:27,6.554,139.27,40.3305,47,2359,2713,3212,0,23233,5595,0,0.854,6.295,9:48:27 AM,51.27717093,2.61397467,0.5,RTK       ,,,,,,,,,,,,,,,
0,0,0,0.0017,0.0393,0.0782,0.0198,0.0076,0.0179,0.0418,0.0512,0.058,0.0609,0.0619,0.0473,0.0288,0.0149,0.0113,0.0093,0.0139,0.0204,0.0584,0.2658,1.282,3.297,4.5876,4.0357,3.2421,3.1469,3.6957,4.5065,4.7962,3.6661,1.5856,0.2832,0.0256,28.7019,1.0076,11.13,0.075,0.9998,0.12,-5,2021,7,9,9,48,28,7/9/2021,9:48:28 AM,7/09/2021 9:48:28,6.554,137.01,39.0584,47,2367,2715,3214,0,23233,5646,0,0.852,6.427,9:48:28 AM,51.27716965,2.6139775,0.3,RTK       ,,,,,,,,,,,,,,,
0,0,0,0.0026,0.0453,0.079,0.0203,0.0077,0.0168,0.0372,0.0455,0.0555,0.0613,0.0649,0.0508,0.0315,0.0167,0.0128,0.0108,0.0162,0.024,0.067,0.2875,1.302,3.2603,4.5289,4.021,3.2498,3.1545,3.6907,4.5025,4.8358,3.7917,1.7312,0.3385,0.0347,28.6631,1.0104,11.13,0.075,1.0004,0.14,-5,2021,7,9,9,48,29,7/9/2021,9:48:29 AM,7/09/2021 9:48:29,6.554,137.96,39.395,47,2376,2716,3202,0,23236,5707,0,0.853,6.342,9:48:29 AM,51.27716963,2.61397883,0.1,RTK       ,,,,,,,,,,,,,,,
0,0,0,0.0032,0.046,0.0768,0.0219,0.0094,0.0201,0.0425,0.052,0.0588,0.0599,0.0587,0.0448,0.0286,0.0164,0.0133,0.0119,0.0178,0.0263,0.0715,0.2983,1.3265,3.3169,4.5898,4.0557,3.2658,3.1505,3.6608,4.4457,4.7822,3.776,1.7432,0.3508,0.0381,28.7899,1.007,11.12,0.075,0.9992,0.12,-5,2021,7,9,9,48,30,7/9/2021,9:48:30 AM,7/09/2021 9:48:30,6.554,137.32,39.48,47,2363,2711,3198,0,23233,5725,0,0.851,6.431,9:48:30 AM,51.27717037,2.61397983,0.5,RTK       ,,,,,,,,,,,,,,,
0,0,0,0.003,0.0456,0.0774,0.0211,0.0086,0.0184,0.0395,0.0493,0.0581,0.0626,0.0636,0.0487,0.0301,0.0162,0.0124,0.0105,0.0156,0.0228,0.0639,0.2791,1.2945,3.3112,4.6096,4.0627,3.2623,3.1522,3.6618,4.4289,4.7578,3.7878,1.7843,0.3662,0.0401,28.7297,1.0083,11.13,0.075,0.9992,0.13,-5,2021,7,9,9,48,31,7/9/2021,9:48:31 AM,7/09/2021 9:48:31,6.554,137.66,39.4659,47,2358,2712,3217,0,23234,5738,0,0.853,6.376,9:48:31 AM,51.27716945,2.61398283,0.5,RTK       ,,,,,,,,,,,,,,,
0,0,0,0.003,0.0479,0.0775,0.0197,0.0079,0.0176,0.039,0.0494,0.0589,0.0636,0.0644,0.0485,0.0292,0.0154,0.0118,0.0101,0.0151,0.0224,0.0633,0.279,1.2984,3.3019,4.5859,4.0564,3.273,3.1665,3.6768,4.45,4.7784,3.7774,1.7473,0.3501,0.0375,28.7526,1.0076,11.13,0.075,0.9998,0.13,-5,2021,7,9,9,48,32,7/9/2021,9:48:32 AM,7/09/2021 9:48:32,6.554,137.59,39.4435,47,2368,2719,3217,0,23234,5751,0,0.852,6.427,9:48:32 AM,51.27716857,2.613986,0.2,RTK       ,,,,,,,,,,,,,,,
0,0,0,0.003,0.0464,0.0769,0.0206,0.0085,0.0185,0.0402,0.0503,0.0594,0.063,0.0626,0.0466,0.0278,0.0146,0.0111,0.0094,0.0143,0.0214,0.0622,0.2811,1.3178,3.3348,4.5798,4.0111,3.2298,3.1443,3.6977,4.52,4.8721,3.8552,1.7904,0.3618,0.0391,28.7732,1.0063,11.12,0.075,0.9998,0.13,-5,2021,7,9,9,48,33,7/9/2021,9:48:33 AM,7/09/2021 9:48:33,6.554,138.21,39.6917,47,2376,2716,3196,0,23234,5776,0,0.85,6.481,9:48:33 AM,51.27716892,2.61398667,0.2,RTK       ,,,,,,,,,,,,,,,
0,0,0,0.0027,0.0455,0.0772,0.0201,0.0081,0.0181,0.0401,0.0496,0.0588,0.0633,0.0652,0.0505,0.0312,0.0168,0.0129,0.0109,0.0163,0.024,0.0669,0.2913,1.3325,3.3357,4.5986,4.0546,3.261,3.1453,3.6653,4.4845,4.8712,3.8791,1.7831,0.3471,0.0353,28.847,1.0035,11.13,0.075,0.9992,0.12,-5,2021,7,9,9,48,34,7/9/2021,9:48:34 AM,7/09/2021 9:48:34,6.554,137.82,39.7629,47,2372,2709,3205,0,23233,5798,0,0.849,6.566,9:48:34 AM,51.2771687,2.6139885,0.5,RTK       ,,,,,,,,,,,,,,,
0,0,0,0.0041,0.0519,0.0767,0.0202,0.0083,0.0175,0.0373,0.047,0.0579,0.064,0.0657,0.0505,0.0306,0.0161,0.012,0.01,0.015,0.0222,0.0636,0.2842,1.3237,3.3613,4.6234,4.0421,3.2307,3.1124,3.6256,4.4343,4.8436,3.9439,1.9069,0.4034,0.0458,28.7083,1.0049,11.12,0.075,0.9992,0.12,-5,2021,7,9,9,48,35,7/9/2021,9:48:35 AM,7/09/2021 9:48:35,6.554,138.43,39.852,47,2361,2715,3216,0,23232,5798,0,0.85,6.512,9:48:35 AM,51.27716787,2.61399167,0.5,RTK       ,,,,,,,,,,,,,,,
0,0,0,0.0031,0.0458,0.076,0.0212,0.0089,0.0192,0.0411,0.0499,0.0577,0.0602,0.0597,0.0451,0.0278,0.015,0.0116,0.0099,0.0149,0.022,0.062,0.2729,1.2784,3.2973,4.6191,4.0904,3.2962,3.1795,3.6614,4.374,4.6556,3.6811,1.7213,0.3512,0.0386,28.7203,1.0117,11.13,0.075,0.9992,0.12,-5,2021,7,9,9,48,36,7/9/2021,9:48:36 AM,7/09/2021 9:48:36,6.554,137.06,39.1684,47,2361,2718,3207,0,23233,5808,0,0.856,6.241,9:48:36 AM,51.27716782,2.61399383,0.1,RTK       ,,,,,,,,,,,,,,,
0,0,0,0.0025,0.0465,0.0784,0.0187,0.007,0.0162,0.0371,0.0467,0.0561,0.0607,0.0628,0.0487,0.0298,0.0156,0.0118,0.0099,0.0149,0.0221,0.0626,0.2776,1.2989,3.2951,4.5622,4.0089,3.2191,3.1304,3.677,4.4736,4.7605,3.6973,1.6715,0.3215,0.0321,28.5909,1.0117,11.12,0.075,0.9998,0.13,-5,2021,7,9,9,48,37,7/9/2021,9:48:37 AM,7/09/2021 9:48:37,6.554,137.36,39.074,47,2370,2715,3207,0,23234,5818,0,0.855,6.264,9:48:37 AM,51.27716823,2.61399483,0.4,RTK       ,,,,,,,,,,,,,,,
