campaign,depth (m lat),"Min of SPMC_(0.0,_459.0]_mean","Mean of SPMC_(0.0,_459.0]_mean","Max of SPMC_(0.0,_459.0]_mean"
grid_Multiingest_0095_6565_20690,-11.0,13.234777340096455,27.923152097376736,111.59011306660021
grid_Multiingest_0095_6565_21092,-12.0,11.90406663873371,20.803424735675772,45.265401572499144
grid_Multiingest_0095_6565_21160,-13.5,11.764138845636412,23.101007195828423,57.02295902367073
grid_Multiingest_0095_6565_21430,-13.0,10.867580895982142,21.408376437664906,60.882506368535786
grid_Multiingest_0095_6565_KW_21550,-12.5,12.351379438184772,26.38073713328722,61.220308485997975
grid_Multiingest_0095_6565_WD_21550,-8.0,16.53717753143737,35.54010687206869,71.96338772206903
