campaign,depth (m lat),"Min of SPMC_(0.0,_459.0]_mean","Mean of SPMC_(0.0,_459.0]_mean","Max of SPMC_(0.0,_459.0]_mean"
grid_Multiingest_0095_6565_21160,-3.0,12.709847683230677,17.949734537927547,33.31055258442765
grid_Multiingest_0095_6565_21160,-2.0,13.892533548611995,17.968525644604632,47.307138551281675
grid_Multiingest_0095_6565_21160,-1.0,15.973432691032047,19.66701965083299,30.669633596764335
grid_Multiingest_0095_6565_21160,0.0,22.389030694062278,27.723730665358296,31.827696970002947
grid_Multiingest_0095_6565_21430,-26.0,16.01969928742253,21.685593725107108,27.349434589177232
grid_Multiingest_0095_6565_21430,-25.0,9.063526430736086,23.438714599950604,58.2214330154646
grid_Multiingest_0095_6565_21430,-24.0,9.091196229235011,22.583917928995692,83.63786923084498
grid_Multiingest_0095_6565_21430,-23.0,9.27155026760961,22.345958317777875,78.57951947404275
grid_Multiingest_0095_6565_21430,-22.0,9.060775725145497,22.370424965665492,49.14574201581422
grid_Multiingest_0095_6565_21430,-21.0,9.205753013446019,22.543522313414446,46.02422562793288
grid_Multiingest_0095_6565_21430,-20.0,9.069030347380547,22.607378853015888,45.58329098235909
grid_Multiingest_0095_6565_21430,-19.0,9.11079210056302,22.518110052239013,40.91212145930267
grid_Multiingest_0095_6565_21430,-18.0,9.049824074031207,22.36895942302807,50.721260397809964
grid_Multiingest_0095_6565_21430,-17.0,10.95821877815009,22.295650076538216,49.123354117321824
grid_Multiingest_0095_6565_21430,-16.0,9.12490753679839,22.37391913654487,83.95136333492906
grid_Multiingest_0095_6565_21430,-15.0,9.173615734264303,22.555607131171705,49.30360984898924
grid_Multiingest_0095_6565_21430,-14.0,9.179422312444583,22.740641729851383,62.091099858643254
grid_Multiingest_0095_6565_21430,-13.0,9.020005428367696,22.823691786888542,62.98365729083863
grid_Multiingest_0095_6565_21430,-12.0,9.265484970273382,22.39525789484587,52.474712934364206
grid_Multiingest_0095_6565_21430,-11.0,9.194010781428235,21.81343273479302,70.84816593356707
grid_Multiingest_0095_6565_21430,-10.0,9.421014552885218,21.196105428145902,55.67128498489782
grid_Multiingest_0095_6565_21430,-9.0,9.708231175124805,20.478028729194676,73.05448431142455
grid_Multiingest_0095_6565_21430,-8.0,10.00641590867917,19.79232442890826,52.98963557769678
grid_Multiingest_0095_6565_21430,-7.0,10.369528499016381,19.24814052655306,89.04413457419977
grid_Multiingest_0095_6565_21430,-6.0,10.78118126000555,18.784753799265633,156.7033134904137
grid_Multiingest_0095_6565_21430,-5.0,11.31245615163799,18.349730203074177,108.04739658956089
