season,quantile,Average of Turbidity_NTU,Total Volume Concentration [ppm],D50,PSD_slope
summer,0.25,3.106,27.29375,124.570647314085,3.2216807229179247
summer,0.5,4.388,35.22865,156.90422177152732,3.336970438262867
summer,0.75,6.544,45.21525,182.9834286365634,3.4876020040973668
winter,0.25,2.76,119.17675,43.50540557890953,2.7126917034724487
winter,0.5,4.28,131.9685,53.18918524075062,2.928866773193382
winter,0.75,8.704,180.97575,64.41935548653001,3.150878934261179
