rows,processed_file
508754133,D:/Algorithm/timbers/data/tmp/20210528_VLIZ_TIMBERS/0000_20210528_093812.csv
522235325,D:/Algorithm/timbers/data/tmp/20210528_VLIZ_TIMBERS/0001_20210528_105011.csv
649511404,D:/Algorithm/timbers/data/tmp/20210528_VLIZ_TIMBERS/0002_20210528_105946.csv
637705117,D:/Algorithm/timbers/data/tmp/20210528_VLIZ_TIMBERS/0003_20210528_111324.csv
739814644,D:/Algorithm/timbers/data/tmp/20210528_VLIZ_TIMBERS/0004_20210528_112305.csv
84864438,D:/Algorithm/timbers/data/tmp/20210528_VLIZ_TIMBERS/0005_20210528_113253.csv
390805637,D:/Algorithm/timbers/data/tmp/20210528_VLIZ_TIMBERS/0010_20210528_120411.csv
377351898,D:/Algorithm/timbers/data/tmp/20210528_VLIZ_TIMBERS/0011_20210528_121327.csv
386982618,D:/Algorithm/timbers/data/tmp/20210528_VLIZ_TIMBERS/0012_20210528_122244.csv
387904825,D:/Algorithm/timbers/data/tmp/20210528_VLIZ_TIMBERS/0013_20210528_123152.csv
239435022,D:/Algorithm/timbers/data/tmp/20210528_VLIZ_TIMBERS/0014_20210528_124059.csv
